condition_id,seed,pct_predictive,mean_population_reward,mean_prop_zone_a,mean_prop_zone_b,mean_prop_stay_out,synchronization,gini_wealth,wealth_std,total_wealth_random,mean_reward_random,total_wealth_memory,mean_reward_memory,mean_reward_predictive,total_wealth_predictive
1,0,0.0,0.5503916179573946,0.5153,0.4495866666666667,0.03511333333333333,0.9148999999999999,0.3795240802493838,340.4453027814808,38798.23697298008,2.586549131532005,43760.5057206291,0.32415189422688223,,0.0
1,1,0.0,0.5508708903781717,0.53324,0.43118666666666666,0.03557333333333334,0.9080266666666666,0.3610922811798014,322.8275457953137,37225.47987658401,2.481698658438934,45405.15368014171,0.3363344717047534,,0.0
1,2,0.0,0.5505989385261756,0.5125666666666666,0.45238666666666666,0.035046666666666663,0.9198133333333333,0.3894260006912631,349.531323923062,39613.613666277924,2.640907577751862,42976.22711264846,0.3183424230566553,,0.0
1,3,0.0,0.5492618907529462,0.5174000000000001,0.4475133333333333,0.03508666666666667,0.9099866666666667,0.3750576221994353,336.1133767743035,38344.23224144144,2.556282149429429,44045.05137150051,0.32625963978889266,,0.0
1,4,0.0,0.5509448326908493,0.5237733333333333,0.4413,0.03492666666666667,0.9129666666666667,0.37341083993824187,334.72812006047207,38215.191243819674,2.547679416254645,44426.53365980771,0.32908543451709416,,0.0
1,5,0.0,0.5507703862732858,0.5211,0.4436533333333333,0.03524666666666667,0.9075333333333333,0.36598089397319833,327.4998795451528,37633.97463719208,2.508931642479472,44981.583303800784,0.33319691336148727,,0.0
1,6,0.0,0.548974802973379,0.5248866666666667,0.4394066666666666,0.035706666666666664,0.91528,0.3779223915893837,337.9671982480602,38507.541380757815,2.567169425383854,43838.679065249,0.32473095603888147,,0.0
1,7,0.0,0.5491596061840148,0.5239733333333334,0.44075333333333333,0.03527333333333333,0.90752,0.3704408645122321,329.9563063818416,37831.45171471981,2.522096780981321,44542.489212882414,0.32994436453986975,,0.0
1,8,0.0,0.5497614503102207,0.5100133333333333,0.45426666666666665,0.03572,0.9071800000000001,0.3723350391416298,333.6565772387568,38150.20934220855,2.54334728948057,44314.008204324615,0.3282519126246268,,0.0
1,9,0.0,0.5501858147878045,0.5179600000000001,0.4470466666666667,0.034993333333333335,0.9169400000000001,0.381925468265081,343.05990902948645,39032.42543508479,2.6021616956723195,43495.44678308592,0.3221884946895253,,0.0
